text	label
her struggle for freedom and a sense of identity culminates in a conflict where the one love may not be the one you can trust and the habits with which one sleepwalks through life are not easily broken . 	0
helmut busch ( now bruno ) will fall in love with adela , one of the activists , and that faces him into a dilema because he has orders to kill the head of the group where the young woman serves as a militant . 	0
one day a man named donny ( morris chestnut ) infiltrates a prison with a band of crooks looking for 200 million dollars worth of us gold . 	0
when they goes to the fence to get them , they discover that someone stole them . 	0
his father eventually becomes very ill and passes away , the future of rammoth lays in ancanar's hands . 	0
the originally noble motive rapidly degenerated into an orgy of bloodletting and terror . 	0
in the partnership , israeli settlers arrange permits from the israeli military , allowing palestinians to work from the area k beach . 	0
this results in more deaths , until the ultimate realization that your thoughts and actions are more important than the color of your skin . 	0
set in 1898 sudan , this fifth film to be adapted from the a . e . w . 	0
the hand that eluded him his entire life , the one that held the cigarettes , and the hand he will never hold again . 	0
when the head of the order dies , alex is sent to rome to investigate mysterious circumstances surrounding the death . 	0
this documentary follows a business partnership between a clan of palestinian fisherman from refugee camps in gaza and israelis from the settlement of dugit , gaza strip . 	0
the remaining friends must now rescue the captives , while desperately trying to avoid the long arm of the law . 	0
seven years later , the submarine uss tunny successfully launched the regulus nuclear cruise missile , and a whole new era in the history of the navy , the submarine and the cold war began ! 	0
julie is a smart and spunky fifteen year old who lost her family to syndicate killers . 	0
'tracks' chronicles their descent with a striking visual portrayal of a boy who made a mistake , paid the consequences and got back on 'track . ' 	0
reluctantly , busy katherine allows patricia to audition and , at once , recognizes her incredible talent . 	0
in her confusion and grief , she finds consolation in the friendship of their african-american gardener , raymond ( dennis haysbert ) - a socially taboo relationship that leads to the further disintegration of life as she knew it . 	0
it's all going well for the very single eleanor , until she realizes it's all a ruse . 	0
what they don't know , however , is that they're filming near the secret hideout of slobodan pavle , a serbian war criminal . 	0
they come across each other again and want to make their fathers' wish come true , so they arrange for yoyo and cheung to meet in london . 	0
gigantic is the story of they might be giants , a unique musical group centered on john flansburgh and john linnell . 	0
blade's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations . 	0
a young reporter named rachel is investigating these events , but after she and her small son watch the tape , it becomes a race against time to find out why the tape is killing everyone and how it could be stopped . 	0
" "" washington heights "" tells the story of carlos ramirez , a young illustrator burning to escape the latino neighborhood of the same name to make a splash in new york city's commercial downtown comic book scene . "	0
director nalin pan doesn't do much to weigh any arguments one way or the other . he simply presents his point of view that ayurveda works . no question . 	1
what's most refreshing about real women have curves is its unforced comedy-drama and its relaxed , natural-seeming actors . 	1
a movie that hovers somewhere between an acute character study and a trite power struggle . 	1
has just enough charm ( not to mention a sense of its own ridiculousness ) to stay afloat . 	1
has an impact that transcends politics and some dramatic overreaching by writer-director randall wallace . 	1
one of [jaglom's] better efforts -- a wry and sometime bitter movie about love . 	1
i'd watch these two together again in a new york minute . 	1
contains the humor , characterization , poignancy , and intelligence of a bad sitcom . 	1
a serious movie with serious ideas . but seriously , folks , it doesn't work . 	1
ultimately , the film amounts to being lectured to by tech-geeks , if you're up for that sort of thing . 	1
a suspense thriller with a brain and a heart . 	1
 . . . [a] strained comedy that jettisons all opportunities for rock to make his mark by serving up the usual chaotic nonsense . 	1
what emerges is not only a portrait of some of the more colorful denizens of mayport , florida , but also a moving examination of the power of art to transform lives . 	1
it's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke . 	1
while soderbergh succeeds in recapturing the themes and mood of tarkovsky's version , he also brings with them a cold , emotionless sheen , a detached air that defeats his efforts to truly engage us . 	1
sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . 	1
it's a lovely , eerie film that casts an odd , rapt spell . 	1
the film's plot may be shallow , but you've never seen the deep like you see it in these harrowing surf shots . 	1
starts out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter . 	1
the work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims . 	1
never mind whether you buy the stuff about barris being a cia hit man . the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive . 	1
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . 	1
weaves a spell over you , with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its awkward structure keeps breaking the spell . 	1
a beguiling splash of pastel colors and prankish comedy from disney . 	1
this is unusual , food-for-thought cinema that's as entertaining as it is instructive . 	1
