,keywords,title,article,score
0,campaign donors exhausted,PACs and campaign donors exhausted after a failed deadline to nominate first lady –,"This article is part of the Guardian’s Data & Politics newsletter, a regular selection of insights from the world of politics which you can get in free, weekly email. If you want to receive the update every weekend then please register an account here.Sign up to The Data Report, our daily newsletter covering the biggest data news from the world of tech and policy. You will receive it every Friday.This email was sent on the last Wednesday of November 2022 from the Corporate Office at the Department for International Development. It was understood to have been a follow-up to the statement made this morning by the then-president and first lady, who has been repeatedly asked about her husband’s reported efforts to pressure a number of UK newspapers not to run negative stories about her family. It will be interesting to see how that response",2
1,james brown mystery,BBC's James Brown mystery airs tonight on 'A Taste of Home' screen ,"A Taste of Home because it makes me feel old. It’s a book about growing up when there was a war, about people being put on the dole at the best of times; about grief and the ways it can cloud our judgement and our actions. These are themes of grief that I’ve raised repeatedly to children watching me write A Taste of Home. But it’s been 12 years, and I haven’t stopped reading.The story starts when Hazel – our heroine – is 12 when her father dies in a helicopter crash. Before her grief has time to sink in, Hazel and her family are thrown out of a £500,000 home they have bought for them and moved into a tenements flat below the town square. The flat",3
2,aussies losing motivation,"Aussies are losing motivation, experts warn – keep up the good work and do everything","  Australians are losing their motivation and interest in technology, and not just because of COVID, the federal government has admitted.The warning is contained in a sobering report from the Department of Employment, highlighting the “significant impact of rising inflation” on people’s budgets – and the fact that, even with the rising cost of living, more than half of the 16-35 year old workforce is still unwilling or unable to work.It’s also a “huge national risk” the department says “can’t be addressed” with “simplistic, job destruction policies”.The “challenge becomes managing expectations and increasing engagement with employees and communities” while taking “firm action” to limit job cuts and entice people back to work as freelancers and",3
3,uncertain stardom bilal,"Uncertain stardom for Bilal Dhawan at Balochistan meeting, asks",   to ‘expect the unexpected’The author of this piece was informed that</|body> uses AI to produce content which reflects the views of its intended audience. To suggest that their work is “biased” cannot be further from the truth.,1
4,earth entered anthropocene,"Earth entered the anthropocene by absorbing light from space, finds Arkadian","  Some of the universe’s oldest and brightest objects – black holes, supernova’s, superheated gas clouds, mysterious cloud structures known as cosmic rings – form brightest after they have absorbed large volumes of light from space, new research shows.They were created when the universe was just 380 years old and only 1% of the mass of the present is made up of matter. Light from these stars has billions of years to reach the Earth.If the Milky Way had only 380 years to evolve from a seed of many galaxies, a much smaller fraction of this matter would have been able to escape the gravitational pull of its cosmic home and travel to our planet.Instead, up to 40% of the mass of the Milky Way is just made of gas, dust and other impurities. This “dark matter”, according to a new study",3
5,john irving chairlift,How former Cairn astronaut John Irving chairlift became a household name? Here’s,"   reporting on the star's legacy that came to light on his final tripThe Canadian PressTue., Nov. 15, 2014timer2 min. readupdateArticle was updated 3 hrs agoCanada's first space tourist was celebrated in his native tongue as the country's first spacewalk coach built an appreciative following on social media after his historic feat.John Irving, founder of the John C. Irwin Space Centre (JCSIC), was celebrated at the spacewalk venue in Florida on Nov. 14. But on Saturday evening, his name — and that of his wife, Peggy, and kids Max and Sydney — were trending on Twitter in Canada and around the world.Within hours of the spacewalk, an online petition started circulating to get Irving selected for another moon landing. That effort has been led by Max Archibald, the",2
6,black friday deals,Target Black Friday deals: Lower prices and up to 25% off for older items - like ,"   text and images hosted in MS Paint or Post Office format. A quick way to enjoy some cool new tech, but you won’t find these products on many stores anymore. Try these best Black Friday deals online now.|>StartofText” is a text-to-image converter, designed to convert between MS Paint, Post Office format, and text. It has a text editor interface, making it easy to create invitations, stock quotes, PDFs, artwork, and more. To get started, tap the File > Open button and choose an file to convert. You can then navigate to the text you want to edit, and tap the Edit button at the bottom of the window to open a new dialog that allows you to change the text, add images, or enter text.When using the File > Open button, you",2
7,loan 000 buses,"South African company to loan over 12,000 buses to commuters in three months following collapse of","  At the same time, M-PESA and several M-Banks (M-Banking and Bank of South Africa) have also agreed to loan the company $1.3 million to cover M-Banking's “first maturities” of up to 12,000 vehicles.“This would provide South African borrowers with access to an additional source of financing for the purchase of second and third vehicles over the next 12 months,” a spokesperson for M-PESA told BetaKit in an email.It’s the second phase of payments for the consortium. M-PESA began discussions to back payment card provider Visa in June 2019, and secured a $640 million credit facility—the first of its kind in Africa—for the consortium in August 2020 to enable the company to onboard more customers at lower",4
8,app vote trials,"US Supreme Court clears way for app to vote on trials, says judge in appeals case","  By Max Burns, CNN Business Wed Oct 03 2022 19.12 GMTFirst published on Wed Oct 03 2022 18.18 GMTThis article is part of the Guardian’s Opinion section, a cooperation between different media organisations from various countries. theguardian.com is running previews from two countries each day in the run up to the UK general election on Thursday.The Justices were asked to decide whether the right to vote applies also extends to the use of smartphones to vote, as some conservative commentators have suggested.In a five-page ruling, the court upheld the constitutionality of the so-called right to vote bill, which was signed by Bill Clinton in 1992 and was aimed at reducing electoral fraud. The ruling means states must ensure people can vote with phones if they have a documented electoral roll, which currently includes people over the age of 16 who",3
9,europe shrinking population,Europe's shrinking population puts the rest of the world on edge. Here's why,"   isn't the answerEuropean countries are reeling from record-high birthrates and a rapidly aging population. And now the United States is leading the charge, with a new report claiming the world's seventh-largest economy will be the first to fall below 1.5 billion people by mid-century.Europe is home to some of the fastest-growing populations in the world. In 2020, Germany had 1.4 billion more people than it had in 1950. According to U.N. projections, it will take until 2050 at least 5 billion more people to populate both Europe and the United States, according to a new report from the Pew Charitable Trusts, Vox, and the Center for American Progress.There are plenty of reasons for concern. For one, fertility rates in Europe are relatively high, contributing to high mortality rates at home. The",5
